paper_id,title,preprint_date,question,question_type
1862619,Macroscopic transports in a rotational system with an electromagnetic field,2021-05-10,"In the context of a rotational system with an orthogonal electromagnetic field and the lowest Landau level approximation, what physical effects lead to the generation of anomalous electric current, and how can chiral density and current be explained?",factual
2740664,From masses and radii of neutron stars to EOS of nuclear matter through neural network*,2023-12-25,How can neural network algorithms be used to reconstruct the equation of state (EOS) of high-density nuclear matter by leveraging neutron star mass-radius data?,conceptual
2618174,Unpolarized proton PDF at NNLO from lattice QCD with physical quark masses,2022-12-23,What is the order of the perturbative matching used in the lattice QCD calculation of the unpolarized isovector quark parton distribution function (PDF)?,factual
2826264,Weak decays in superheavy nuclei,2024-09-06,"According to the abstract, which types of transitions dominate the decay rates in almost all studied superheavy nuclei, and for proton-rich nuclei, which weak decay process dominates over the other?",factual
2724214,Quantum Simulation of Finite Temperature Schwinger Model via Quantum Imaginary Time Evolution,2023-11-20,What is the specific quantum algorithm used in the abstract to prepare thermal states for simulating the Schwinger model at finite temperatures?,factual
1982688,Spectral reconstruction in SU(4) gauge theory with fermions in multiple representations,2021-12-02,What is the primary approach used in this study to investigate the SU(4) gauge theory with fermions in multiple representations?,factual
2730506,The chiral separation effect from lattice QCD at the physical point,2023-12-05,What is the primary method used in this study to investigate the Chiral Separation Effect?,factual
2712173,Nonempirical shape dynamics of heavy nuclei with multitask deep learning,2023-10-17,What is the mean absolute error in reproducing the binding energies of \( ^{236}\text{U} \) using the proposed multitask deep learning method compared to using conventional multipole moments as latent variables?,factual
2078317,Equations of state for hot neutron stars-II. The role of exotic particle degrees of freedom,2022-05-06,"What are the exotic degrees of freedom considered in the equations of state for hot neutron stars, besides the baryonic octet?",factual
2606480,Kaon condensation in skyrmion matter and compact stars,2022-12-01,"In the generalized Skyrme model discussed in the abstract, what is the predicted range of densities for the onset of kaon condensation relative to saturation density?",factual
1840188,Implications of PREX-2 on the Equation of State of Neutron-Rich Matter,2021-01-08,"What is the value of L, the slope of the symmetry energy, as reported by the PREX collaboration and derived from Rskin208 within relativistic energy density functionals?",factual
1993905,Backpropagating Hybrid Monte Carlo algorithm for fast Lefschetz thimble calculations,2021-12-20,"What is the primary advantage of the proposed ""backpropagating"" Hybrid Monte Carlo algorithm for Lefschetz thimble calculations compared to previous methods?",conceptual
2918161,Jet shape modification in a transport calculation,2025-05-05,What are the two primary mechanisms through which jets lose energy in relativistic heavy ion collisions as described in the abstract?,factual
2158311,Analytic structure of the Landau gauge quark propagator from Padé analysis,2022-09-29,"What is the approximate Euclidean momentum at which a pole is observed for the Landau gauge quark propagator, and what is its relevance to effective quark masses?",factual
1983914,LeapfrogLayers: A Trainable Framework for Effective Topological Sampling,2021-12-02,What is the primary advantage of using LeapfrogLayers compared to traditional HMC for sampling the topology of a 2D U(1) lattice gauge theory?,factual
2838938,Relativistic spin hydrodynamics revisited with general rotation by entropy-current analysis,2024-10-09,"What is the relationship between the constitutive relations of the stress-energy tensor and spin variables in the context of Dirac fermions with general thermal vorticity, according to the entropy-current analysis?",conceptual
2740584,The imprint of conservation laws on correlated particle production,2023-12-24,How does exact baryon number conservation generally affect event-by-event fluctuations of net-baryon number?,conceptual
2612874,Nuclear chiral rotation induced by superfluidity,2022-12-08,"According to the abstract, how does superfluidity influence the critical frequency and the onset of chiral rotation in nuclei, and what is the underlying mechanism for this influence?",conceptual
2955456,Influence of electromagnetic fields on the generation of the directed and elliptic flows of heavy quarks in relativistic heavy-ion collisions,2025-07-30,"How do self-generated electromagnetic fields influence the directed flow ($v_1$) splitting of $D^0$ and $\bar{D}^0$ mesons in relativistic heavy-ion collisions, according to the PHSD approach?",factual
2098297,Green's function knockout formalism,2022-06-20,"What is the standard theoretical approach for describing knockout nuclear reactions, and what are its limitations, especially concerning exotic nuclei?",conceptual
2670451,Superheavy elements and ultradense matter,2023-06-20,What mass density range is predicted for elements in the island of nuclear stability around $Z=164$ based on the relativistic Thomas-Fermi model?,factual
1828477,"Charmonium-like resonances with J$^{PC}$ = 0$^{++}$, 2$^{++}$ in coupled $ \mathrm{D}\overline{\mathrm{D}} $, $ {\mathrm{D}}_{\mathrm{s}}{\overline{\mathrm{D}}}_{\mathrm{s}} $ scattering on the lattice",2020-11-04,What are the J$^{PC}$ quantum numbers investigated in this lattice QCD study of coupled $Dar{D}$ and $D_sar{D}_s$ scattering?,factual
2127368,Kinetic Theory for Massive Spin-1 Particles,2022-07-28,What is the relationship between the Boltzmann equation for the scalar distribution function derived from the Wigner function formalism for massive spin-1 particles and previous calculations for spin-1/2 particles?,factual
1811583,Catalysis of Transmutations by Heavy Electron Quasiparticles in Crystallites,2020-08-04,"What is the proposed mechanism for inducing transmutations in a crystalline lattice, and what role does a heavy electron quasiparticle play in this process?",conceptual
2660205,Synthesis of Elements in Compact Stars in Pycnonuclear Reactions with Carbon Isotopes: Quasibound States vs. States of Zero-Points Vibrations,2023-05-16,"According to the abstract, which isotope of Magnesium is stable after synthesis from $^{12}$C isotopes with a relative motion energy of 4.881 MeV, and what is the key difference in formation probability between quasibound states and zero-point vibration states in pycnonuclear reactions?",summary
2762070,Microscopic origin of criticality at macroscale in QCD chiral phase transition,2024-01-22,What is the novel relation established in the abstract between the cumulants of the chiral order parameter and the correlations among the energy levels of quarks?,factual
2610487,Adjoint fermions at large-$N_c$ on the lattice,2022-12-05,What specific lattice technique is used in the abstract to overcome the high computational costs associated with simulating adjoint fermions at large-$N_c$?,factual
1836765,Fluid velocity from transverse momentum spectra,2020-12-14,What is the observed trend in the distribution of fluid velocity as the centrality of $\text{Pb}+\text{Pb}$ collisions at $\sqrt{s_{NN}}}=2.76$ TeV decreases?,factual
2082502,Fluctuations in the canonical ensemble of an Abelian charge,2022-05-15,"What kind of fluctuations are studied in the canonical ensemble where the net baryon number is exactly conserved, and what specific quantities are focused on regarding baryon and antibaryon multiplicities?",factual
2965683,Testing hydrodynamic response to initial-state geometry in Pb+$d^\uparrow$ collisions,2025-08-30,"How does the sign of the elliptic flow coefficient ($v_2$) correlate with the polarization states of deuterons in Pb + polarized deuteron collisions, according to the hydrodynamic response to initial-state geometry?",factual
2659661,Neural network predictions of inclusive electron-nucleus cross sections,2023-05-14,"What nuclei were considered for predicting electron-scattering cross sections using a neural network, and which of these are of particular interest for neutrino oscillation programs?",factual
2087060,Optimizing creation operators for charmonium spectroscopy on the lattice,2022-05-23,"What technique, used in lattice calculations, defines smearing for quark fields as a low-rank linear projection operator into a small vector space of smooth gauge-covariant fields?",factual
2874149,Split-even approach to the rare kaon decay $K \to \pi \ell^+ \ell^-$,2025-01-30,"What is the primary limitation in the direct computation of the rare kaon decay $K 	o 
u ightarrow 
u ar{
u}$ at the physical point, as mentioned in the abstract?",factual
2756991,Recent Progress in the Electroweak Structure of Light Nuclei Using Quantum Monte Carlo Methods,2024-02-09,What types of nuclear processes are discussed in the review regarding their electroweak structure using Quantum Monte Carlo methods?,summary
2835314,"Nuclear shape / phase transitions in the $N = 40, 60, 90$ regions",2024-09-30,"What nuclear structure indicators are examined in the abstract to identify signs of phase transitional behavior in the N = 40, 60, and 90 regions?",factual
1952167,Machine learning spectral functions in lattice QCD,2021-10-26,What is the prominent feature of the SVAE model proposed in this paper for reconstructing spectral functions?,factual
2601280,Probing Fractional Quantum Hall Sheets in Dense Baryonic Matter,2022-11-27,How are octet baryons described in the context of fractional quantum Hall droplets when considering the $\eta^\prime$ meson and $N_f=3$?,factual
1944052,Analytic expansions of multi-hadron finite-volume energies. I. Two-particle states,2021-10-13,What is the role of accidental degeneracies and the definition of a power-counting scheme in the derivation of analytic expansions for finite-volume energies of two-particle systems?,conceptual
2161576,"Medium-dependent relativistic <math><mrow><mi mathvariant=""italic"">NN</mi></mrow></math> potential: Application to fusion dynamics",2022-04-12,"How does the inclusion of in-medium effects in the DDR3Y NN potential, through density-dependent nucleon-meson couplings, influence the fusion barrier and fusion/capture cross-section compared to the R3Y interaction?",conceptual
2959629,Hybrid renormalization for distribution amplitude of a light baryon in large momentum effective theory,2025-08-12,What is the purpose of matching to perturbative matrix elements in the $\overline{\text{MS}}$ scheme in the context of hybrid renormalization for light baryon quasi-DAs?,factual
2923429,Enhancing the creation of elements in laser-assisted heavy-ion fusion reactions,2025-05-21,What is the approximate percentage enhancement in the average $\mmultiscripts><mi mathvariant=,factual
2514100,All-mode renormalization for tensor network with stochastic noise,2022-11-23,How does the proposed common noise method in tensor network calculations differ from the truncated singular value decomposition in terms of accuracy and computational cost for the Ising model on a square lattice?,factual
3073737,Nucleon-nucleon scattering up to next-to-leading order in manifestly Lorentz-invariant chiral effective field theory: low phases and the deuteron,2025-10-26,"What approach is used to describe nucleon-nucleon interaction in the published research, and what are the key findings regarding low partial waves and deuteron properties?",summary
2796532,"Feasibility of the observation of $\eta^{\prime}$ mesic nuclei in the semi-exclusive $^{12}$C($p, dp$) reaction",2024-06-10,What reaction is proposed as feasible for the observation of $\eta^{\prime}$ mesic nuclei using the JAM transport model?,factual
3072523,Computing nuclear response functions with time-dependent coupled-cluster theory,2025-10-22,"What is the primary method used to compute nuclear response functions in this study, and how does it account for correlations beyond the mean field?",conceptual
2760399,Behavior of the continuum coupling correlation energy in the vicinity of the particle emission threshold - Gamow shell model study,2024-02-20,What specific near-threshold states of 7Li and 7Be are studied using the Gamow shell model in this work?,factual
2721817,The topological susceptibility slope χ$^{′}$ of the pure-gauge SU(3) Yang-Mills theory,2023-11-11,What is the value of the pure-gauge SU(3) topological susceptibility slope $\chi^{′}$ obtained from the lattice Monte Carlo simulations in the abstract?,factual
2098236,Longitudinal and transverse form factors from $^{65}$Cu and $^{71}$Ga nuclei,2022-06-18,What model space and effective interaction are used for the shell model calculations of longitudinal and transverse form factors for $^{65}$Cu and $^{71}$Ga nuclei?,factual
1940908,Anderson metal-to-critical transition in QCD,2021-10-10,"According to the abstract, what is the nature of the high-T state in QCD in the context of the Anderson metal-to-insulator transition analogy, and what plays a key role in shaping its IR physics?",conceptual
2892222,QCD Predictions for Physical Multimeson Scattering Amplitudes,2025-02-20,"What specific meson combinations and quark masses were used in the lattice QCD calculations to determine three-particle scattering amplitudes, and at what lattice spacing?",factual
2869848,"Branching ratio and information entropy for the <math><mi>p</mi><mo> </mo><mrow><mo>+</mo><mmultiscripts><mi mathvariant=""normal"">C</mi><mprescripts/><none/><mn>12</mn></mmultiscripts></mrow></math> reaction in the extended-quantum-molecular-dynamics model",2025-01-29,"According to the extended-quantum-molecular-dynamics (EQMD) model, how does the branching ratio for the quasielastic reaction differ between a triangular $3\alpha$ structured $^{12}$C and a spherical $^{12}$C?",factual
1853985,Deuterium-tritium fusion process in strong laser fields: Semiclassical simulation,2021-03-26,What is the primary method used in the abstract to simulate the deuterium-tritium fusion process in strong laser fields?,factual
1821755,Lattice regularisation and entanglement structure of the Gross-Neveu model,2020-10-07,What phenomenon explains the degeneracy of elementary kink excitations in the N-flavour Gross-Neveu model constructed with Hamiltonian lattice regularisation?,conceptual
1868286,Stiffening of matter in quark-hadron continuity,2021-06-12,What is the relationship between the saturation effects and short-range interactions of quarks according to the abstract?,conceptual
1969354,Lattice results for the longitudinal spin structure and color forces on quarks in a nucleon,2021-11-16,"What are the best estimates for the twist-2 contribution $a_2$ and the twist-3 contribution $d_2$ to the spin structure functions for the proton and neutron, respectively, as calculated using lattice QCD and neglecting quark-line disconnected contributions?",factual
1980687,Quark-diquark potential and diquark mass from lattice QCD,2021-11-30,"In the context of treating the $\Lambda_c$ baryon as a charm-diquark ($c$-[ud]) two-body bound state, how is the diquark mass determined according to the HAL QCD method extension used in the study?",factual
2787389,A study of the fine-structure constant dependence of radiative capture in Halo-EFT,2024-05-16,"Within the Halo Effective Field Theory framework, how does the fine-structure constant dependence of selected radiative capture reaction rates deviate from a simple penetration factor parameterization?",conceptual
3089264,Complex-energy eigenvector continuation for nuclear many-body broad resonances,2025-12-04,What nuclear systems were studied using the complex-energy eigenvector continuation (EC) method to analyze broad resonances?,factual
1835299,Role of exact treatment of thermal pairing in radiative strength functions of $^{161-163}$Dy nuclei,2020-12-09,"How does the inclusion of exact thermal pairing (EP) in the phonon damping model (PDM) affect the description of the radiative strength function (RSF) for Dy161–163 nuclei, and what is the consequence for the number of free parameters compared to phenomenological models?",factual
2745230,Exploring the QCD phase diagram with three flavors of Möbius domain wall fermions,2024-01-10,What lattice sizes and quark masses were used in the simulations of the QCD phase transition with three flavors of Möbius domain wall fermions at zero baryon density and a fixed lattice spacing of $a=0.1361(20)$ fm?,factual
2742408,3D multi-system Bayesian calibration with energy conservation to study rapidity-dependent dynamics of nuclear collisions,2023-12-31,What specific types of experimental data are used to calibrate the parameterized model for rapidity-dependent energy deposition in the 3D hydrodynamic simulations?,factual
3088504,Excitation function of femtoscopic Lévy source parameters of pion pairs in EPOS4,2025-12-02,"According to the abstract, how do the femtoscopic source parameters \(R_{\rm side}\) and \(R_{\rm long}\) depend on transverse momentum (\(m_T\)) and collision energy in the STAR Beam Energy Scan range as simulated by the EPOS4 model?",factual
2844235,One-proton emission from <math><mmultiscripts><mi>Sb</mi><mprescripts/><none/><mn>102</mn></mmultiscripts></math> and its sensitivity to the proton-neutron interaction,2024-10-30,What is the suggested ground state of \(^102\)Sb and what theoretical assumption leads to this conclusion regarding its potential as a proton emitter?,factual
2166734,Extended superscaling with two-particle emission in electron and neutrino scattering,2022-10-18,"How is the extended superscaling analysis extended in this work to incorporate two-particle emission, and what does the $q$-dependent parameter represent in this context?",conceptual
2947368,Color field configuration between three static quarks,2025-07-15,"According to the abstract, what are the two components of the color electric and magnetic fields within Yang-Mills-Proca theory with external sources?",factual
1798539,Running the gamut of high energy nuclear collisions,2020-05-29,"What types of heavy ion collisions, including asymmetric and proton-proton collisions, are studied within the presented hybrid formalism, and at which colliders (LHC, RHIC) are these collisions performed?",summary
1876529,Machine learning approach to pattern recognition in nuclear dynamics from the ab initio symmetry-adapted no-core shell model,2021-07-03,"What specific nuclear wave functions were used to train the neural network in this study, and for which nuclei?",factual
2921425,Probing how bright the quark-gluon plasma glows in lattice QCD,2025-05-15,"What temperature, in MeV, was used to calculate the two moments of the photon spectrum emitted by the quark-gluon plasma in this lattice QCD study?",factual
2606472,Momentum transfer dependence of kaon semileptonic form factor on (10 fm)$^4$ at the physical point,2022-11-30,What lattice spacings were used in the calculation of kaon semileptonic form factors in this study?,factual
2691250,Core destruction in knockout reactions,2023-08-25,"According to the presented model, what is the maximum percentage decrease in core survival probability due to secondary collisions between nucleons and the projectile core?",factual
1869930,Light hyperclusters and hyperons in low-density hot stellar matter,2021-06-23,"In the context of low-density hot stellar matter described by a relativistic mean-field model, how does the presence of hyperons influence the dissolution density and abundance of light nuclei, and how do charge fraction and temperature affect this influence?",factual
